event_id,event_name,event_date,url_link
76,UFC Fight Night: Muniz vs. Allen,2023-02-25,http://www.ufcstats.com/event-details/806975e1b4f47b27
77,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,http://www.ufcstats.com/event-details/f21a3d68fb9df387
78,UFC 284: Makhachev vs. Volkanovski,2023-02-11,http://www.ufcstats.com/event-details/01dd4cdc2446f665
79,UFC Fight Night: Lewis vs. Spivac,2023-02-04,http://www.ufcstats.com/event-details/d26394fc0e8e880a
80,UFC 283: Teixeira vs. Hill,2023-01-21,http://www.ufcstats.com/event-details/5717efc6f271cd52
81,UFC Fight Night: Strickland vs. Imavov,2023-01-14,http://www.ufcstats.com/event-details/2e2cdb6e9eb84bb9
82,UFC Fight Night: Cannonier vs. Strickland,2022-12-17,http://www.ufcstats.com/event-details/56ec58954158966a
83,UFC 282: Blachowicz vs. Ankalaev,2022-12-10,http://www.ufcstats.com/event-details/f65a0eb902f9476b
84,UFC Fight Night: Thompson vs. Holland,2022-12-03,http://www.ufcstats.com/event-details/b23388ff8ac6637b
85,UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,http://www.ufcstats.com/event-details/012fc7cd0779c09a
86,UFC 281: Adesanya vs. Pereira,2022-11-12,http://www.ufcstats.com/event-details/b3b6e80b7d5f8f0d
87,UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,http://www.ufcstats.com/event-details/756f45905fb20cb5
88,UFC Fight Night: Kattar vs. Allen,2022-10-29,http://www.ufcstats.com/event-details/be5aab761c40ef35
89,UFC 280: Oliveira vs. Makhachev,2022-10-22,http://www.ufcstats.com/event-details/885e7f70dcac0007
90,UFC Fight Night: Grasso vs. Araujo,2022-10-15,http://www.ufcstats.com/event-details/49c29e57d4e2be6f
91,UFC Fight Night: Dern vs. Yan,2022-10-01,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
92,UFC Fight Night: Sandhagen vs. Song,2022-09-17,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
93,UFC 279: Diaz vs. Ferguson,2022-09-10,http://www.ufcstats.com/event-details/93bf96be327fcd98
94,UFC Fight Night: Gane vs. Tuivasa,2022-09-03,http://www.ufcstats.com/event-details/00a905a4a4a2b071
95,UFC 278: Usman vs. Edwards,2022-08-20,http://www.ufcstats.com/event-details/4f853e98886283cf
96,UFC Fight Night: Vera vs. Cruz,2022-08-13,http://www.ufcstats.com/event-details/a23e63184c65f5b8
97,UFC Fight Night: Santos vs. Hill,2022-08-06,http://www.ufcstats.com/event-details/8f6a18831a120817
98,UFC 277: Pena vs. Nunes 2,2022-07-30,http://www.ufcstats.com/event-details/b0a6124751a56bc4
99,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,http://www.ufcstats.com/event-details/319c15b8aac5bfde
100,UFC Fight Night: Ortega vs. Rodriguez,2022-07-16,http://www.ufcstats.com/event-details/8fd76e1b49c00ae2
101,UFC Fight Night: Dos Anjos vs. Fiziev,2022-07-09,http://www.ufcstats.com/event-details/31da66df48c0c1a0
102,UFC 276: Adesanya vs. Cannonier,2022-07-02,http://www.ufcstats.com/event-details/4a9e305633f3ef47
103,UFC Fight Night: Tsarukyan vs. Gamrot,2022-06-25,http://www.ufcstats.com/event-details/eb42d4febfafefd1
104,UFC Fight Night: Kattar vs. Emmett,2022-06-18,http://www.ufcstats.com/event-details/a0a680fe2f6cc8e6
105,UFC 275: Teixeira vs. Prochazka,2022-06-11,http://www.ufcstats.com/event-details/3a24769a4855040a
106,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,http://www.ufcstats.com/event-details/57591bbf1623574e
107,UFC Fight Night: Holm vs. Vieira,2022-05-21,http://www.ufcstats.com/event-details/a6c32678efd4f434
108,UFC Fight Night: Blachowicz vs. Rakic,2022-05-14,http://www.ufcstats.com/event-details/60ba33c3f555a7a3
109,UFC 274: Oliveira vs. Gaethje,2022-05-07,http://www.ufcstats.com/event-details/253d3f9e97ca149a
110,UFC Fight Night: Font vs. Vera,2022-04-30,http://www.ufcstats.com/event-details/6bf5a7d3e081ade2
111,UFC Fight Night: Lemos vs. Andrade,2022-04-23,http://www.ufcstats.com/event-details/236a37d96d476164
112,UFC Fight Night: Luque vs. Muhammad,2022-04-16,http://www.ufcstats.com/event-details/8753e125f4499816
113,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,http://www.ufcstats.com/event-details/3a97fda0de6f1fa4
114,UFC Fight Night: Blaydes vs. Daukaus,2022-03-26,http://www.ufcstats.com/event-details/1fac46d466abd5b8
115,UFC Fight Night: Volkov vs. Aspinall,2022-03-19,http://www.ufcstats.com/event-details/1d00756835ca67c9
116,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,http://www.ufcstats.com/event-details/1f9344211ca7fd60
117,UFC 272: Covington vs. Masvidal,2022-03-05,http://www.ufcstats.com/event-details/75e0d3cc2262b732
118,UFC Fight Night: Makhachev vs. Green,2022-02-26,http://www.ufcstats.com/event-details/f6a7b02c42e9fc5b
119,UFC Fight Night: Walker vs. Hill,2022-02-19,http://www.ufcstats.com/event-details/77940e45bc86208e
120,UFC 271: Adesanya vs. Whittaker 2,2022-02-12,http://www.ufcstats.com/event-details/cbb682f5fcc44bfc
121,UFC Fight Night: Hermansson vs. Strickland,2022-02-05,http://www.ufcstats.com/event-details/883922e5cd6d8473
122,UFC 270: Ngannou vs. Gane,2022-01-22,http://www.ufcstats.com/event-details/335ad945324c3a2e
123,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,http://www.ufcstats.com/event-details/f5585e675af7afd4
124,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,http://www.ufcstats.com/event-details/2a470ad41c22c25a
125,UFC 269: Oliveira vs. Poirier,2021-12-11,http://www.ufcstats.com/event-details/ef927e4fe2117ab8
126,UFC Fight Night: Font vs. Aldo,2021-12-04,http://www.ufcstats.com/event-details/509697e08673d2e5
127,UFC Fight Night: Vieira vs. Tate,2021-11-20,http://www.ufcstats.com/event-details/c95fbc085e17a532
128,UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,http://www.ufcstats.com/event-details/b5abaa65f87938eb
129,UFC 268: Usman vs. Covington 2,2021-11-06,http://www.ufcstats.com/event-details/48e093ea1f43a053
130,UFC 267: Blachowicz vs. Teixeira,2021-10-30,http://www.ufcstats.com/event-details/3974fa35c917af1d
131,UFC Fight Night: Costa vs. Vettori,2021-10-23,http://www.ufcstats.com/event-details/8a9c6c4301f6d088
132,UFC Fight Night: Ladd vs. Dumont,2021-10-16,http://www.ufcstats.com/event-details/8f4616698508f24d
133,UFC Fight Night: Dern vs. Rodriguez,2021-10-09,http://www.ufcstats.com/event-details/d247691a6c0e9034
134,UFC Fight Night: Santos vs. Walker,2021-10-02,http://www.ufcstats.com/event-details/e15d0a2519d6a0b5
135,UFC 266: Volkanovski vs. Ortega,2021-09-25,http://www.ufcstats.com/event-details/0eec866a077889f0
136,UFC Fight Night: Smith vs. Spann,2021-09-18,http://www.ufcstats.com/event-details/4c27ca8c8481f79a
137,UFC Fight Night: Brunson vs. Till,2021-09-04,http://www.ufcstats.com/event-details/b9532d815060de7f
138,UFC Fight Night: Barboza vs. Chikadze,2021-08-28,http://www.ufcstats.com/event-details/0db9d2486d564a3c
139,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21,http://www.ufcstats.com/event-details/2f13e4020cea5b38
140,UFC 265: Lewis vs. Gane,2021-08-07,http://www.ufcstats.com/event-details/972197a8c61ac413
141,UFC Fight Night: Hall vs. Strickland,2021-07-31,http://www.ufcstats.com/event-details/320edfb0332b7073
142,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24,http://www.ufcstats.com/event-details/e57f0b06ea39e360
143,UFC Fight Night: Makhachev vs. Moises,2021-07-17,http://www.ufcstats.com/event-details/40389d39a92f5bfa
144,UFC 264: Poirier vs. McGregor 3,2021-07-10,http://www.ufcstats.com/event-details/8a0be41c0380188d
145,UFC Fight Night: Gane vs. Volkov,2021-06-26,http://www.ufcstats.com/event-details/a1d6b308781aa2f5
146,UFC Fight Night: Jung vs. Ige,2021-06-19,http://www.ufcstats.com/event-details/9ddfb3369a3b0394
147,UFC 263: Adesanya vs. Vettori 2,2021-06-12,http://www.ufcstats.com/event-details/0b64d0fed453ef7f
148,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,http://www.ufcstats.com/event-details/3b2485c8d5c8b580
149,UFC Fight Night: Font vs. Garbrandt,2021-05-22,http://www.ufcstats.com/event-details/277ffed20cf07aea
150,UFC 262: Oliveira vs. Chandler,2021-05-15,http://www.ufcstats.com/event-details/744f50016c39c26c
151,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08,http://www.ufcstats.com/event-details/58a36b4ccf5dc30e
152,UFC Fight Night: Reyes vs. Prochazka,2021-05-01,http://www.ufcstats.com/event-details/d57e6a8971b6d2bd
153,UFC 261: Usman vs. Masvidal 2,2021-04-24,http://www.ufcstats.com/event-details/27541033b97c076d
154,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17,http://www.ufcstats.com/event-details/4a35913bd9aa4161
155,UFC Fight Night: Vettori vs. Holland,2021-04-10,http://www.ufcstats.com/event-details/9114c8ded5ccd71d
156,UFC 260: Miocic vs. Ngannou,2021-03-27,http://www.ufcstats.com/event-details/6597b611f1c32555
157,UFC Fight Night: Brunson vs. Holland,2021-03-20,http://www.ufcstats.com/event-details/c36e1f4fa755ffb4
158,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,http://www.ufcstats.com/event-details/8c90c1563972e44d
159,UFC 259: Blachowicz vs. Adesanya,2021-03-06,http://www.ufcstats.com/event-details/6e2b1d631832921d
160,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,http://www.ufcstats.com/event-details/81b57acd6975ac06
161,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,http://www.ufcstats.com/event-details/bfe95ec546692b13
162,UFC 258: Usman vs. Burns,2021-02-13,http://www.ufcstats.com/event-details/3f7c14c7eca7195d
163,UFC Fight Night: Overeem vs. Volkov,2021-02-06,http://www.ufcstats.com/event-details/a1153013cb5f628f
164,UFC 257: Poirier vs. McGregor,2021-01-23,http://www.ufcstats.com/event-details/4304992c2acc187b
165,UFC Fight Night: Chiesa vs. Magny,2021-01-20,http://www.ufcstats.com/event-details/56116537d71a578c
166,UFC Fight Night: Holloway vs. Kattar,2021-01-16,http://www.ufcstats.com/event-details/307064d3e0f036c2
167,UFC Fight Night: Thompson vs. Neal,2020-12-19,http://www.ufcstats.com/event-details/e49c2db95e572dc8
168,UFC 256: Figueiredo vs. Moreno,2020-12-12,http://www.ufcstats.com/event-details/d0d43cb9b14f231c
169,UFC Fight Night: Hermansson vs. Vettori,2020-12-05,http://www.ufcstats.com/event-details/398b440e73d55b8b
170,UFC Fight Night: Smith vs. Clark,2020-11-28,http://www.ufcstats.com/event-details/992c82450d96f726
171,UFC 255: Figueiredo vs. Perez,2020-11-21,http://www.ufcstats.com/event-details/bbb15f301e4a490a
172,UFC Fight Night: Felder vs. Dos Anjos,2020-11-14,http://www.ufcstats.com/event-details/3bc27ec15facbcf3
173,UFC Fight Night: Santos vs. Teixeira,2020-11-07,http://www.ufcstats.com/event-details/41dca66f9dadfc86
174,UFC Fight Night: Hall vs. Silva,2020-10-31,http://www.ufcstats.com/event-details/ad044be25c94dcfd
175,UFC 254: Khabib vs. Gaethje,2020-10-24,http://www.ufcstats.com/event-details/c3c38c86f5ab9b5c
176,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-17,http://www.ufcstats.com/event-details/d4f364dd076bb0e2
177,UFC Fight Night: Moraes vs. Sandhagen,2020-10-10,http://www.ufcstats.com/event-details/fd4578cac86d75ca
178,UFC Fight Night: Holm vs. Aldana,2020-10-03,http://www.ufcstats.com/event-details/805ad1801eb26abb
179,UFC 253: Adesanya vs. Costa,2020-09-26,http://www.ufcstats.com/event-details/e69c5ce12f4e762b
180,UFC Fight Night: Covington vs. Woodley,2020-09-19,http://www.ufcstats.com/event-details/831b937811804dad
181,UFC Fight Night: Waterson vs. Hill,2020-09-12,http://www.ufcstats.com/event-details/9c37681096c6f3a9
182,UFC Fight Night: Overeem vs. Sakai,2020-09-05,http://www.ufcstats.com/event-details/542db012217ecb83
183,UFC Fight Night: Smith vs. Rakic,2020-08-29,http://www.ufcstats.com/event-details/e29cf523ebd155c5
184,UFC Fight Night: Munhoz vs. Edgar,2020-08-22,http://www.ufcstats.com/event-details/af1e5c64b8663aa0
185,UFC 252: Miocic vs. Cormier 3,2020-08-15,http://www.ufcstats.com/event-details/bda04c573563cc2e
186,UFC Fight Night: Lewis vs. Oleinik,2020-08-08,http://www.ufcstats.com/event-details/7a82635ffa9b59fe
187,UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,http://www.ufcstats.com/event-details/3746e21bb508391a
188,UFC Fight Night: Whittaker vs. Till,2020-07-25,http://www.ufcstats.com/event-details/dde70a112e053a6c
189,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc
190,UFC Fight Night: Kattar vs. Ige,2020-07-15,http://www.ufcstats.com/event-details/18f5669a92e99d92
191,UFC 251: Usman vs. Masvidal,2020-07-11,http://www.ufcstats.com/event-details/dbd198f780286aca
